Marker_1,Marker_2,Marker_3,Marker_4,Marker_5,Marker_6,Marker_7,Marker_8,Marker_9,Marker_10,GT,MV,DS,GLAD,MACE,n_annotators,WSI,ano,split
-1,-1,-1,-1,1,3,-1,-1,-1,-1,3,3,2,1,3,2,CasoHEProstata_A_0011_row_34816_column_10240,CasoHEProstata_A_0011_row_34816_column_10240,train
-1,-1,2,1,-1,-1,-1,-1,-1,-1,2,2,1,2,2,2,CasoHEProstata_A_0026_row_19895_column_127368,CasoHEProstata_A_0026_row_19895_column_127368,train
-1,-1,-1,0,1,-1,-1,-1,-1,-1,1,1,1,1,0,2,CasoHEProstata_A_0026_row_19895_column_129416,CasoHEProstata_A_0026_row_19895_column_129416,train
0,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,0,0,0,2,CasoHEProstata_A_0026_row_21943_column_125320,CasoHEProstata_A_0026_row_21943_column_125320,train
2,-1,2,-1,-1,2,-1,-1,-1,-1,2,2,2,2,2,3,CasoHEProstata_A_0026_row_21943_column_127368,CasoHEProstata_A_0026_row_21943_column_127368,train
0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0026_row_21943_column_129416,CasoHEProstata_A_0026_row_21943_column_129416,train
0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,1,0,2,CasoHEProstata_A_0026_row_36279_column_133512,CasoHEProstata_A_0026_row_36279_column_133512,train
-1,-1,-1,0,-1,-1,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0026_row_36279_column_135560,CasoHEProstata_A_0026_row_36279_column_135560,train
-1,1,-1,-1,-1,-1,2,-1,-1,-1,2,2,1,1,1,2,CasoHEProstata_A_0026_row_38327_column_135560,CasoHEProstata_A_0026_row_38327_column_135560,train
1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0026_row_40375_column_127368,CasoHEProstata_A_0026_row_40375_column_127368,train
-1,1,-1,-1,-1,3,-1,-1,-1,-1,3,3,2,3,3,2,CasoHEProstata_A_0026_row_42423_column_121224,CasoHEProstata_A_0026_row_42423_column_121224,train
-1,1,0,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,2,CasoHEProstata_A_0026_row_42423_column_123272,CasoHEProstata_A_0026_row_42423_column_123272,train
-1,-1,-1,0,1,-1,-1,-1,-1,-1,1,1,1,1,0,2,CasoHEProstata_A_0026_row_42423_column_125320,CasoHEProstata_A_0026_row_42423_column_125320,train
-1,-1,-1,-1,2,-1,2,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0026_row_42423_column_127368,CasoHEProstata_A_0026_row_42423_column_127368,train
1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0026_row_42423_column_129416,CasoHEProstata_A_0026_row_42423_column_129416,train
3,-1,3,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,3,2,CasoHEProstata_A_0026_row_44471_column_115080,CasoHEProstata_A_0026_row_44471_column_115080,train
-1,-1,0,-1,-1,-1,3,-1,-1,-1,3,3,0,0,0,2,CasoHEProstata_A_0026_row_44471_column_121224,CasoHEProstata_A_0026_row_44471_column_121224,train
-1,-1,2,-1,2,-1,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0026_row_44471_column_123272,CasoHEProstata_A_0026_row_44471_column_123272,train
-1,-1,2,2,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0026_row_44471_column_125320,CasoHEProstata_A_0026_row_44471_column_125320,train
-1,1,-1,-1,3,-1,-1,-1,-1,-1,3,3,2,3,3,2,CasoHEProstata_A_0026_row_46519_column_113032,CasoHEProstata_A_0026_row_46519_column_113032,train
3,-1,-1,-1,-1,3,-1,-1,-1,-1,3,3,3,3,3,2,CasoHEProstata_A_0026_row_46519_column_115080,CasoHEProstata_A_0026_row_46519_column_115080,train
-1,-1,-1,-1,3,-1,3,-1,-1,-1,3,3,3,3,3,2,CasoHEProstata_A_0026_row_46519_column_117128,CasoHEProstata_A_0026_row_46519_column_117128,train
-1,-1,-1,0,-1,3,-1,-1,-1,-1,3,3,3,3,0,2,CasoHEProstata_A_0026_row_48567_column_113032,CasoHEProstata_A_0026_row_48567_column_113032,train
1,-1,-1,-1,2,0,-1,-1,-1,-1,2,2,2,2,2,3,CasoHEProstata_A_0026_row_48567_column_115080,CasoHEProstata_A_0026_row_48567_column_115080,train
0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0026_row_48567_column_117128,CasoHEProstata_A_0026_row_48567_column_117128,train
-1,1,-1,-1,0,-1,-1,-1,-1,-1,1,1,0,0,0,2,CasoHEProstata_A_0027_row_12685_column_102940,CasoHEProstata_A_0027_row_12685_column_102940,train
3,-1,-1,-1,-1,-1,3,-1,-1,-1,3,3,3,3,3,2,CasoHEProstata_A_0027_row_12685_column_109084,CasoHEProstata_A_0027_row_12685_column_109084,train
-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0027_row_12685_column_111132,CasoHEProstata_A_0027_row_12685_column_111132,train
-1,1,-1,-1,-1,3,-1,-1,-1,-1,3,3,2,3,3,2,CasoHEProstata_A_0027_row_14733_column_102940,CasoHEProstata_A_0027_row_14733_column_102940,train
-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0027_row_14733_column_104988,CasoHEProstata_A_0027_row_14733_column_104988,train
-1,-1,0,-1,2,-1,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0027_row_14733_column_107036,CasoHEProstata_A_0027_row_14733_column_107036,train
3,-1,-1,2,-1,-1,-1,-1,-1,-1,3,3,2,2,2,2,CasoHEProstata_A_0027_row_14733_column_109084,CasoHEProstata_A_0027_row_14733_column_109084,train
-1,-1,-1,0,-1,-1,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0027_row_14733_column_111132,CasoHEProstata_A_0027_row_14733_column_111132,train
-1,2,-1,2,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0027_row_16781_column_102940,CasoHEProstata_A_0027_row_16781_column_102940,train
1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0027_row_16781_column_109084,CasoHEProstata_A_0027_row_16781_column_109084,train
-1,2,-1,-1,2,3,-1,-1,-1,-1,2,2,3,2,2,3,CasoHEProstata_A_0027_row_18829_column_100892,CasoHEProstata_A_0027_row_18829_column_100892,train
3,-1,-1,2,-1,-1,-1,-1,-1,-1,3,3,2,2,2,2,CasoHEProstata_A_0027_row_18829_column_102940,CasoHEProstata_A_0027_row_18829_column_102940,train
-1,1,-1,-1,-1,2,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0027_row_20877_column_102940,CasoHEProstata_A_0027_row_20877_column_102940,train
3,-1,-1,0,-1,-1,-1,-1,-1,-1,3,3,0,0,0,2,CasoHEProstata_A_0027_row_22925_column_100892,CasoHEProstata_A_0027_row_22925_column_100892,train
-1,1,-1,-1,-1,-1,3,-1,-1,-1,3,3,2,1,1,2,CasoHEProstata_A_0027_row_22925_column_102940,CasoHEProstata_A_0027_row_22925_column_102940,train
-1,-1,3,2,-1,-1,-1,-1,-1,-1,3,3,3,3,3,2,CasoHEProstata_A_0027_row_24973_column_100892,CasoHEProstata_A_0027_row_24973_column_100892,train
1,1,-1,-1,2,-1,-1,-1,-1,-1,1,1,2,1,2,3,CasoHEProstata_A_0027_row_24973_column_102940,CasoHEProstata_A_0027_row_24973_column_102940,train
-1,-1,-1,2,-1,-1,3,-1,-1,-1,2,2,3,2,2,2,CasoHEProstata_A_0027_row_24973_column_98844,CasoHEProstata_A_0027_row_24973_column_98844,train
0,-1,-1,-1,-1,-1,2,-1,-1,-1,2,2,0,0,0,2,CasoHEProstata_A_0027_row_27021_column_100892,CasoHEProstata_A_0027_row_27021_column_100892,train
-1,1,-1,-1,-1,0,-1,-1,-1,-1,1,1,0,0,0,2,CasoHEProstata_A_0027_row_27021_column_98844,CasoHEProstata_A_0027_row_27021_column_98844,train
0,-1,-1,-1,-1,-1,3,-1,-1,-1,3,3,0,0,0,2,CasoHEProstata_A_0037_row_13265_column_149433,CasoHEProstata_A_0037_row_13265_column_149433,train
3,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0037_row_17361_column_151481,CasoHEProstata_A_0037_row_17361_column_151481,train
3,-1,0,-1,-1,-1,-1,-1,-1,-1,3,3,3,0,0,2,CasoHEProstata_A_0037_row_17361_column_153529,CasoHEProstata_A_0037_row_17361_column_153529,train
-1,-1,-1,0,-1,-1,3,-1,-1,-1,3,3,0,0,0,2,CasoHEProstata_A_0044_row_15919_column_103123,CasoHEProstata_A_0044_row_15919_column_103123,train
-1,-1,-1,-1,-1,0,3,-1,-1,-1,3,3,0,0,0,2,CasoHEProstata_A_0044_row_15919_column_105171,CasoHEProstata_A_0044_row_15919_column_105171,train
-1,-1,-1,3,3,-1,-1,-1,-1,-1,3,3,3,3,3,2,CasoHEProstata_A_0044_row_54831_column_99027,CasoHEProstata_A_0044_row_54831_column_99027,train
-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0044_row_9775_column_107219,CasoHEProstata_A_0044_row_9775_column_107219,train
-1,0,-1,2,-1,-1,-1,-1,-1,-1,2,2,1,0,2,2,CasoHEProstata_A_0047_row_32268_column_11236,CasoHEProstata_A_0047_row_32268_column_11236,train
-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0047_row_32268_column_5092,CasoHEProstata_A_0047_row_32268_column_5092,train
0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0047_row_32268_column_7140,CasoHEProstata_A_0047_row_32268_column_7140,train
-1,2,2,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0047_row_34316_column_11236,CasoHEProstata_A_0047_row_34316_column_11236,train
2,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,3,CasoHEProstata_A_0047_row_34316_column_13284,CasoHEProstata_A_0047_row_34316_column_13284,train
3,-1,-1,-1,-1,0,-1,-1,-1,-1,3,3,0,0,0,2,CasoHEProstata_A_0047_row_34316_column_5092,CasoHEProstata_A_0047_row_34316_column_5092,train
-1,-1,-1,-1,-1,2,3,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0047_row_34316_column_7140,CasoHEProstata_A_0047_row_34316_column_7140,train
2,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,2,1,1,3,CasoHEProstata_A_0047_row_36364_column_13284,CasoHEProstata_A_0047_row_36364_column_13284,train
-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0047_row_36364_column_5092,CasoHEProstata_A_0047_row_36364_column_5092,train
-1,-1,0,-1,1,-1,-1,-1,-1,-1,1,1,1,1,0,2,CasoHEProstata_A_0047_row_36364_column_7140,CasoHEProstata_A_0047_row_36364_column_7140,train
-1,-1,2,-1,1,-1,-1,-1,-1,-1,2,2,2,1,2,2,CasoHEProstata_A_0047_row_38412_column_13284,CasoHEProstata_A_0047_row_38412_column_13284,train
2,-1,-1,-1,-1,-1,2,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0047_row_38412_column_15332,CasoHEProstata_A_0047_row_38412_column_15332,train
-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0047_row_38412_column_7140,CasoHEProstata_A_0047_row_38412_column_7140,train
-1,-1,2,2,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0047_row_40460_column_13284,CasoHEProstata_A_0047_row_40460_column_13284,train
2,1,-1,-1,-1,-1,2,-1,-1,-1,2,2,2,2,2,3,CasoHEProstata_A_0047_row_40460_column_15332,CasoHEProstata_A_0047_row_40460_column_15332,train
3,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,2,1,3,3,CasoHEProstata_A_0047_row_42508_column_13284,CasoHEProstata_A_0047_row_42508_column_13284,train
-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0047_row_42508_column_15332,CasoHEProstata_A_0047_row_42508_column_15332,train
-1,-1,-1,2,-1,-1,2,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0047_row_44556_column_13284,CasoHEProstata_A_0047_row_44556_column_13284,train
2,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,2,1,1,2,CasoHEProstata_A_0047_row_44556_column_15332,CasoHEProstata_A_0047_row_44556_column_15332,train
-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0047_row_44556_column_7140,CasoHEProstata_A_0047_row_44556_column_7140,train
-1,1,2,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0047_row_46604_column_13284,CasoHEProstata_A_0047_row_46604_column_13284,train
1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0047_row_46604_column_7140,CasoHEProstata_A_0047_row_46604_column_7140,train
-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0047_row_48652_column_13284,CasoHEProstata_A_0047_row_48652_column_13284,train
0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0047_row_48652_column_15332,CasoHEProstata_A_0047_row_48652_column_15332,train
-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0047_row_50700_column_13284,CasoHEProstata_A_0047_row_50700_column_13284,train
-1,1,2,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0047_row_50700_column_15332,CasoHEProstata_A_0047_row_50700_column_15332,train
2,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,2,1,1,2,CasoHEProstata_A_0047_row_52748_column_15332,CasoHEProstata_A_0047_row_52748_column_15332,train
1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0047_row_54796_column_13284,CasoHEProstata_A_0047_row_54796_column_13284,train
-1,-1,1,-1,-1,2,-1,-1,-1,-1,2,2,1,2,2,2,CasoHEProstata_A_0047_row_54796_column_15332,CasoHEProstata_A_0047_row_54796_column_15332,train
-1,1,-1,0,-1,-1,-1,-1,-1,-1,1,1,1,1,0,2,CasoHEProstata_A_0047_row_58892_column_13284,CasoHEProstata_A_0047_row_58892_column_13284,train
-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0047_row_58892_column_15332,CasoHEProstata_A_0047_row_58892_column_15332,train
-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0047_row_60940_column_15332,CasoHEProstata_A_0047_row_60940_column_15332,train
-1,-1,-1,1,-1,-1,2,-1,-1,-1,2,2,1,1,1,2,CasoHEProstata_A_0047_row_60940_column_17380,CasoHEProstata_A_0047_row_60940_column_17380,train
2,-1,-1,-1,-1,-1,2,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0047_row_62988_column_15332,CasoHEProstata_A_0047_row_62988_column_15332,train
-1,-1,2,-1,-1,-1,2,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0047_row_62988_column_17380,CasoHEProstata_A_0047_row_62988_column_17380,train
-1,-1,1,-1,-1,-1,2,-1,-1,-1,2,2,1,1,1,2,CasoHEProstata_A_0047_row_65036_column_15332,CasoHEProstata_A_0047_row_65036_column_15332,train
1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0047_row_65036_column_19428,CasoHEProstata_A_0047_row_65036_column_19428,train
-1,-1,2,-1,-1,-1,1,-1,-1,-1,2,2,1,2,2,2,CasoHEProstata_A_0047_row_67084_column_17380,CasoHEProstata_A_0047_row_67084_column_17380,train
2,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,2,1,1,2,CasoHEProstata_A_0048_row_33377_column_90073,CasoHEProstata_A_0048_row_33377_column_90073,train
-1,1,-1,0,-1,1,-1,-1,-1,-1,1,1,1,1,0,3,CasoHEProstata_A_0048_row_33377_column_92121,CasoHEProstata_A_0048_row_33377_column_92121,train
-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0048_row_35425_column_90073,CasoHEProstata_A_0048_row_35425_column_90073,train
-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0048_row_35425_column_92121,CasoHEProstata_A_0048_row_35425_column_92121,train
-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0048_row_39521_column_92121,CasoHEProstata_A_0048_row_39521_column_92121,train
-1,-1,-1,-1,1,-1,2,-1,-1,-1,2,2,1,1,1,2,CasoHEProstata_A_0049_row_9287_column_10177,CasoHEProstata_A_0049_row_9287_column_10177,train
-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0050_row_19756_column_106548,CasoHEProstata_A_0050_row_19756_column_106548,train
-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,2,CasoHEProstata_A_0050_row_19756_column_108596,CasoHEProstata_A_0050_row_19756_column_108596,train
-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,3,CasoHEProstata_A_0050_row_21804_column_106548,CasoHEProstata_A_0050_row_21804_column_106548,train
-1,1,0,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,2,CasoHEProstata_A_0051_row_14336_column_102400,CasoHEProstata_A_0051_row_14336_column_102400,train
1,-1,-1,2,-1,3,-1,-1,-1,-1,3,3,2,3,2,3,CasoHEProstata_A_0051_row_16384_column_94208,CasoHEProstata_A_0051_row_16384_column_94208,train
-1,2,2,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0051_row_18432_column_100352,CasoHEProstata_A_0051_row_18432_column_100352,train
-1,-1,2,-1,2,3,-1,-1,-1,-1,2,2,2,2,2,3,CasoHEProstata_A_0051_row_18432_column_102400,CasoHEProstata_A_0051_row_18432_column_102400,train
2,2,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0051_row_18432_column_96256,CasoHEProstata_A_0051_row_18432_column_96256,train
2,-1,-1,-1,-1,2,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0051_row_20480_column_100352,CasoHEProstata_A_0051_row_20480_column_100352,train
1,2,-1,2,2,2,-1,-1,-1,-1,2,2,2,2,2,5,CasoHEProstata_A_0051_row_20480_column_106496,CasoHEProstata_A_0051_row_20480_column_106496,train
1,-1,3,-1,2,3,-1,-1,-1,-1,3,3,3,3,3,4,CasoHEProstata_A_0051_row_20480_column_92160,CasoHEProstata_A_0051_row_20480_column_92160,train
-1,-1,3,-1,-1,3,-1,-1,-1,-1,3,3,3,3,3,2,CasoHEProstata_A_0051_row_20480_column_96256,CasoHEProstata_A_0051_row_20480_column_96256,train
-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,3,3,3,2,CasoHEProstata_A_0051_row_22528_column_104448,CasoHEProstata_A_0051_row_22528_column_104448,train
-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,3,3,3,2,CasoHEProstata_A_0051_row_22528_column_94208,CasoHEProstata_A_0051_row_22528_column_94208,train
2,-1,3,-1,2,-1,3,-1,-1,-1,3,3,3,2,3,4,CasoHEProstata_A_0051_row_22528_column_98304,CasoHEProstata_A_0051_row_22528_column_98304,train
2,-1,-1,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,3,CasoHEProstata_A_0051_row_24576_column_122880,CasoHEProstata_A_0051_row_24576_column_122880,train
2,-1,-1,2,2,-1,2,-1,-1,-1,2,2,2,2,2,4,CasoHEProstata_A_0051_row_24576_column_86016,CasoHEProstata_A_0051_row_24576_column_86016,train
2,2,2,3,-1,3,-1,-1,-1,-1,2,2,3,2,3,5,CasoHEProstata_A_0051_row_24576_column_96256,CasoHEProstata_A_0051_row_24576_column_96256,train
3,-1,2,0,-1,3,-1,-1,-1,-1,3,3,3,3,3,4,CasoHEProstata_A_0051_row_26624_column_104448,CasoHEProstata_A_0051_row_26624_column_104448,train
2,2,3,-1,-1,2,-1,-1,-1,-1,2,2,3,2,2,4,CasoHEProstata_A_0051_row_26624_column_112640,CasoHEProstata_A_0051_row_26624_column_112640,train
-1,-1,2,3,-1,-1,-1,-1,-1,-1,2,2,3,2,3,2,CasoHEProstata_A_0051_row_26624_column_114688,CasoHEProstata_A_0051_row_26624_column_114688,train
-1,1,3,2,-1,-1,-1,-1,-1,-1,3,3,2,3,3,3,CasoHEProstata_A_0051_row_26624_column_118784,CasoHEProstata_A_0051_row_26624_column_118784,train
2,-1,3,2,-1,-1,-1,-1,-1,-1,2,2,3,2,2,3,CasoHEProstata_A_0051_row_26624_column_120832,CasoHEProstata_A_0051_row_26624_column_120832,train
-1,-1,2,3,-1,-1,-1,-1,-1,-1,2,2,3,2,3,2,CasoHEProstata_A_0051_row_26624_column_122880,CasoHEProstata_A_0051_row_26624_column_122880,train
2,2,2,3,-1,-1,-1,-1,-1,-1,2,2,3,2,2,4,CasoHEProstata_A_0051_row_26624_column_124928,CasoHEProstata_A_0051_row_26624_column_124928,train
-1,-1,-1,3,-1,3,-1,-1,-1,-1,3,3,3,3,3,2,CasoHEProstata_A_0051_row_26624_column_96256,CasoHEProstata_A_0051_row_26624_column_96256,train
2,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,3,3,3,3,CasoHEProstata_A_0051_row_28672_column_102400,CasoHEProstata_A_0051_row_28672_column_102400,train
2,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,3,3,3,3,CasoHEProstata_A_0051_row_28672_column_118784,CasoHEProstata_A_0051_row_28672_column_118784,train
-1,-1,3,-1,2,3,-1,-1,-1,-1,3,3,3,3,3,3,CasoHEProstata_A_0051_row_28672_column_120832,CasoHEProstata_A_0051_row_28672_column_120832,train
2,2,3,-1,-1,-1,-1,-1,-1,-1,2,2,3,2,3,3,CasoHEProstata_A_0051_row_28672_column_122880,CasoHEProstata_A_0051_row_28672_column_122880,train
-1,-1,2,3,-1,-1,-1,-1,-1,-1,2,2,3,2,3,2,CasoHEProstata_A_0051_row_28672_column_126976,CasoHEProstata_A_0051_row_28672_column_126976,train
-1,-1,1,-1,0,1,-1,-1,-1,-1,1,1,1,1,1,3,CasoHEProstata_A_0051_row_28672_column_129024,CasoHEProstata_A_0051_row_28672_column_129024,train
-1,1,-1,-1,-1,2,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0051_row_28672_column_92160,CasoHEProstata_A_0051_row_28672_column_92160,train
1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0051_row_30720_column_112640,CasoHEProstata_A_0051_row_30720_column_112640,train
-1,-1,-1,-1,2,1,-1,-1,-1,-1,2,2,1,2,2,2,CasoHEProstata_A_0051_row_30720_column_129024,CasoHEProstata_A_0051_row_30720_column_129024,train
-1,-1,2,2,-1,3,2,-1,-1,-1,2,2,2,2,2,4,CasoHEProstata_A_0051_row_32768_column_92160,CasoHEProstata_A_0051_row_32768_column_92160,train
2,3,3,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,3,3,CasoHEProstata_A_0051_row_34816_column_120832,CasoHEProstata_A_0051_row_34816_column_120832,train
-1,-1,3,2,-1,-1,-1,-1,-1,-1,3,3,3,3,3,2,CasoHEProstata_A_0051_row_34816_column_122880,CasoHEProstata_A_0051_row_34816_column_122880,train
-1,1,-1,3,2,2,3,-1,-1,-1,3,3,3,2,3,5,CasoHEProstata_A_0051_row_36864_column_118784,CasoHEProstata_A_0051_row_36864_column_118784,train
-1,3,-1,3,3,3,-1,-1,-1,-1,3,3,3,3,3,4,CasoHEProstata_A_0051_row_36864_column_120832,CasoHEProstata_A_0051_row_36864_column_120832,train
-1,2,-1,2,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,CasoHEProstata_A_0051_row_38912_column_124928,CasoHEProstata_A_0051_row_38912_column_124928,train
1,1,-1,0,-1,2,3,-1,-1,-1,1,1,2,1,0,5,CasoHEProstata_A_0051_row_47104_column_102400,CasoHEProstata_A_0051_row_47104_column_102400,train
-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,3,3,3,2,CasoHEProstata_A_0051_row_47104_column_126976,CasoHEProstata_A_0051_row_47104_column_126976,train
-1,-1,0,2,-1,-1,-1,-1,-1,-1,2,2,2,0,2,2,CasoHEProstata_A_0051_row_47104_column_94208,CasoHEProstata_A_0051_row_47104_column_94208,train
2,-1,2,3,-1,3,-1,-1,-1,-1,3,3,3,3,3,4,CasoHEProstata_A_0051_row_53248_column_92160,CasoHEProstata_A_0051_row_53248_column_92160,train
-1,2,3,-1,-1,-1,-1,-1,-1,-1,2,2,3,3,3,2,CasoHEProstata_A_0051_row_53248_column_94208,CasoHEProstata_A_0051_row_53248_column_94208,train
-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,3,3,3,3,2,CasoHEProstata_A_0051_row_53248_column_96256,CasoHEProstata_A_0051_row_53248_column_96256,train
0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,2,CasoHEProstata_A_0051_row_55296_column_90112,CasoHEProstata_A_0051_row_55296_column_90112,train
